STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/1/2020,10,22,2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/2/2020,23,26,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/3/2020,20,25,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/4/2020,24,27,21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/5/2020,26,29,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/6/2020,19,31,7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/7/2020,13,23,-9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/8/2020,-11,6,-29
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/9/2020,11,20,6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/10/2020,6,15,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/11/2020,-15,2,-33
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/12/2020,2,12,-3
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/13/2020,14,24,10
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/14/2020,21,24,-4
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/15/2020,0,3,-12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/16/2020,-12,-5,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/17/2020,-5,19,-21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/18/2020,19,23,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/19/2020,12,16,-13
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/20/2020,-6,16,-30
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/21/2020,11,27,4
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/22/2020,21,26,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/23/2020,23,26,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/24/2020,21,24,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/25/2020,24,28,23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/26/2020,23,24,18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/27/2020,16,18,13
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/28/2020,15,19,13
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/29/2020,17,23,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/30/2020,20,25,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/31/2020,21,30,15
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/1/2020,28,35,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/2/2020,29,34,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/3/2020,19,26,-8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/4/2020,-1,12,-18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/5/2020,10,32,-7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/6/2020,21,24,6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/7/2020,1,6,-23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/8/2020,-9,13,-24
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/9/2020,9,16,-8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/10/2020,12,27,-1
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/11/2020,21,30,8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/12/2020,11,25,-21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/13/2020,-16,-1,-29
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/14/2020,-5,23,-25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/15/2020,20,26,-4
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/16/2020,-4,12,-28
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/17/2020,9,23,1
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/18/2020,12,16,-9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/19/2020,-6,5,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/20/2020,-4,25,-20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/21/2020,23,38,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/22/2020,28,49,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/23/2020,26,38,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/24/2020,27,40,10
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/25/2020,21,28,6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/26/2020,10,17,-6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/27/2020,8,17,-14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/28/2020,0,24,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/29/2020,16,39,-2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/1/2020,31,44,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/2/2020,28,36,21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/3/2020,29,32,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/4/2020,19,34,-1
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/5/2020,29,30,-2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/6/2020,12,38,-10
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/7/2020,36,48,27
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/8/2020,38,51,22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/9/2020,23,29,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/10/2020,20,32,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/11/2020,20,37,3
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/12/2020,31,38,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/13/2020,22,25,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/14/2020,15,27,2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/15/2020,20,34,7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/16/2020,28,30,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/17/2020,20,32,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/18/2020,21,33,7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/19/2020,29,31,18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/20/2020,17,25,-8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/21/2020,8,33,-14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/22/2020,23,32,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/23/2020,32,45,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/24/2020,34,48,19
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/25/2020,35,39,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/26/2020,29,44,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/27/2020,33,51,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/28/2020,35,50,19
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/29/2020,42,52,30
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/30/2020,39,53,24
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/31/2020,37,53,21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/1/2020,36,47,24
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/2/2020,38,50,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/3/2020,32,41,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/4/2020,21,38,5
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/5/2020,35,53,22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/6/2020,40,49,32
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/7/2020,45,53,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/8/2020,40,46,26
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/9/2020,29,35,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/10/2020,30,47,18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/11/2020,36,44,27
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/12/2020,30,36,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/13/2020,23,30,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/14/2020,19,28,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/15/2020,22,34,11
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/16/2020,28,39,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/17/2020,31,47,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/18/2020,44,54,32
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/19/2020,32,40,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/20/2020,38,43,22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/21/2020,27,39,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/22/2020,34,44,28
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/23/2020,39,55,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/24/2020,45,63,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/25/2020,46,59,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/26/2020,47,64,29
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/27/2020,52,68,36
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/28/2020,48,63,33
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/29/2020,47,57,28
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",4/30/2020,46,70,23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/1/2020,55,70,42
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/2/2020,49,53,37
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/3/2020,38,44,31
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/4/2020,39,54,23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/5/2020,47,61,33
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/6/2020,47,60,26
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/7/2020,41,49,30
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/8/2020,35,47,27
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/9/2020,38,51,19
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/10/2020,40,48,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/11/2020,37,47,21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/12/2020,38,54,18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/13/2020,39,51,23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/14/2020,49,65,44
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/15/2020,52,63,37
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/16/2020,52,70,32
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/17/2020,55,72,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/18/2020,58,74,33
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/19/2020,59,80,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/20/2020,66,84,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/21/2020,68,82,52
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/22/2020,64,70,49
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/23/2020,64,72,57
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/24/2020,65,76,51
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/25/2020,68,80,58
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/26/2020,66,68,58
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/27/2020,66,82,49
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/28/2020,60,71,43
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/29/2020,51,60,41
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/30/2020,49,61,36
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",5/31/2020,54,74,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/1/2020,64,85,49
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/2/2020,71,80,51
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/3/2020,64,76,51
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/4/2020,65,80,51
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/5/2020,63,67,51
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/6/2020,55,65,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/7/2020,56,65,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/8/2020,67,83,57
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/9/2020,74,81,56
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/10/2020,58,62,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/11/2020,54,65,44
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/12/2020,52,64,39
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/13/2020,54,69,39
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/14/2020,58,75,39
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/15/2020,66,73,58
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/16/2020,76,91,68
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/17/2020,80,90,70
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/18/2020,74,81,57
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/19/2020,61,70,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/20/2020,59,72,43
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/21/2020,63,72,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/22/2020,59,70,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/23/2020,62,73,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/24/2020,63,77,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/25/2020,64,83,41
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/26/2020,71,79,56
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/27/2020,70,85,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/28/2020,72,87,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/29/2020,70,76,61
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/30/2020,74,86,64
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/1/2020,80,86,58
